Number of words in the file = 516
Number unique  words in the file = 273


Frequency table sorted alphabetically...

  	KEY		COUNTER
==================================
           1996           2
           1999           2
            200           1
           2003           2
           2005           1
           2007           1
           2010           1
             50           1
              8           1
              a           9
        adapted           1
     additional           1
          after           5
          again           1
         agoura           1
          album           8
         albums           1
           also           1
       american           1
          among           1
             an           1
       anchored           1
            and          18
            any           1
     applicants           1
        arizona           1
         around           1
        artists           1
             at           1
         awards           1
           band          16
          bands           5
         became           1
        because           1
        bedroom           1
          began           2
         behind           1
     bennington           3
           best           2
        between           1
      billboard           2
           blue           3
        bourdon           1
           brad           1
   breakthrough           1
           bros           2
             by           3
     california           2
          catch           1
      certified           1
         change           1
        changed           2
        changes           1
        charity           1
          chart           1
         charts           1
      chemistry           1
        chester           1
       coldplay           1
   collaborated           1
      collision           1
        company           1
        concept           1
   considerable           1
     consisting           1
      continued           1
      countries           1
         course           1
     culminated           1
           dave           1
           daze           1
           deal           3
          debut           2
         delson           1
        densely           1
        despite           1
        diamond           1
             ep           1
            era           1
       explored           1
      extensive           1
         facing           1
         failed           1
        failing           1
           fame           1
        farrell           2
       followed           1
      following           2
            for           2
         formed           1
       formerly           1
     foundation           1
        friends           1
           from           5
    frustration           1
         genres           2
     graduating           1
         grammy           1
       greatest           1
           grew           1
           grey           1
            had           2
           hahn           1
            has           3
         having           1
           help           1
         helped           2
           high           2
          hills           1
            him           1
            his           1
         homage           1
        however           1
         hybrid           5
             in          17
       inciting           1
       included           1
      interests           1
  international           1
             is           1
            its           4
           jayz           1
           jeff           3
            joe           1
         labels           1
           lack           1
           land           1
        layered           1
          leave           1
           left           1
        limited           1
        lincoln           1
         linkin           6
          major           1
      makeshift           1
           many           1
          march           1
           mark           1
         mashup           1
       material           1
          metal           2
        meteora           2
       midnight           1
           mike           1
     millennium           1
        million           1
        minutes           1
        monicas           1
           more           1
           most           2
           mtv2           1
  multiplatinum           1
          music           2
        musical           1
           name           3
          named           1
        natives           1
            new           2
        newborn           1
           next           1
        notably           1
            now           1
             nu           1
       numerous           1
          oasis           1
             of          10
             on           5
           once           1
     originally           1
          other           5
         others           1
           over           1
           park           6
          parks           1
        perform           1
        phoenix           1
           play           1
      president           2
       previous           1
      producing           1
       progress           1
       projects           1
       prompted           1
  radiofriendly           1
            rap           1
         rapper           1
    reanimation           1
         recent           1
         record           3
      recording           1
        records           2
      recruited           1
     recruiting           1
       referred           1
     rejections           1
       released           3
    renaissance           1
    replacement           1
      resources           1
        reviews           1
         revive           1
           riaa           1
            rob           1
           rock           1
           rose           1
          santa           1
         school           2
         search           1
      searching           1
      september           1
      seriously           1
        several           3
        shinoda           2
       shinodas           1
           sign           2
        singing           1
          sixth           1
           snax           1
           sold           1
          songs           1
       spending           1
      stalemate           1
       standout           1
          still           1
      struggled           1
         studio           3
          style           2
        success           2
           suns           1
           take           1
          tasty           1
       tensions           1
           that           2
            the          36
          their           5
           them           1
         theory           5
          these           1
           they           1
          third           2
           this           1
         though           1
       thousand           1
          three           2
           time           3
             to          16
         topped           1
        topping           1
           tour           1
        touring           1
         turned           1
            two           1
         unique           1
           vice           2
          video           1
          vocal           1
       vocalist           2
      wakefield           2
     wakefields           1
         warner           2
            was           5
           week           1
          which           2
           with           6
         within           2
            won           1
           work           3
          world           1
      worldwide           1
           xero           3
           year           2
            yet           1
          zomba           1
Number of words after remove: 74


Frequency table sorted alphabetically...

  	KEY		COUNTER
==================================
           1996           2
           1999           2
           2003           2
              a           9
          after           5
          album           8
            and          18
           band          16
          bands           5
          began           2
     bennington           3
           best           2
      billboard           2
           blue           3
           bros           2
             by           3
     california           2
        changed           2
           deal           3
          debut           2
        farrell           2
      following           2
            for           2
           from           5
         genres           2
            had           2
            has           3
         helped           2
           high           2
         hybrid           5
             in          17
            its           4
           jeff           3
         linkin           6
          metal           2
        meteora           2
           most           2
          music           2
           name           3
            new           2
             of          10
             on           5
          other           5
           park           6
      president           2
         record           3
        records           2
       released           3
         school           2
        several           3
        shinoda           2
           sign           2
         studio           3
          style           2
        success           2
           that           2
            the          36
          their           5
         theory           5
          third           2
          three           2
           time           3
             to          16
           vice           2
       vocalist           2
      wakefield           2
         warner           2
            was           5
          which           2
           with           6
         within           2
           work           3
           xero           3
           year           2
Enter two words:

Frequency table in [of,the]

  	KEY		COUNTER
==================================
            the          36
           that           2
        success           2
          style           2
         studio           3
           sign           2
        shinoda           2
        several           3
         school           2
       released           3
        records           2
         record           3
      president           2
           park           6
          other           5
             on           5
             of          10

